NA_L2CODE,COLOR,NOUMENON,ALPHA,XC,RECORDIST
0.0,#d3eaf5,,,,
1.1,#6892cc,Ivory Gull,ivogul,XC284132,Claire Mazard
2.1,#afbad7,Snowy Owl,snoowl1,XC343145,Tero Linjama
2.2,#c9d7ed,Bluethroat,blueth,XC185558,Andrew Spencer
2.3,#069edb,Gyrfalcon,gyrfal,XC181614,Andrew Spencer
2.4,#48a6dc,Harris's Sparrow,harspa,XC210755,Ian Cruickshank
3.1,#54c5f1,Swainson's Thrush,swathr,XC628195,Sue Riffe
3.2,#00baf1,Rock Ptarmigan,rocpta1,XC432601,Logan McLeod
3.3,#92c5ea,Smith's Longspur,smilon,XC356212,Frank Lambert
3.4,#5fcdf5,Yellow Rail,yelrai,XC577160,Tom Forwood Jr.
4.1,#46b4ba,Canada Jay,gryjay,XC603584,Bruce Lagerquist
5.1,#2db77b,Hermit Thrush,herthr,XC612892,Richard E. Webster
5.2,#aedee4,Common Loon,comloo,XC601772,Peter Ward and Ken Hall
5.3,#55c3ce,Blackburnian Warbler,bkbwar,XC600509,Christopher McPherson
5.4,#bed7c0,Sharp-tailed Grouse,shtgro,XC500160,Jacob Saucier
6.1,#d3e6b8,Willow Ptarmigan,wilpta,XC431187,Logan McLeod
6.2,#5ebc55,Western Tanager,westan,XC611975,Richard E. Webster
7.1,#42c0bd,Varied Thrush,varthr,XC604686,Bruce Lagerquist
8.1,#a4cb4b,Red-eyed Vireo,reevir1,XC624420,Sue Riffe
8.2,#e3f2e7,Dickcissel,dickci,XC611831,Whitney Neufeld-Kaiser
8.3,#cfe4ae,Prairie Warbler,prawar,XC602059,Christopher McPherson
8.4,#51bd83,Cerulean Warbler,cerwar,XC600735,Christopher McPherson
8.5,#b9d87e,Black-bellied Whistling Duck,bbwduc,XC622465,Mauricio Cuéllar Ramírez
9.2,#fee5ca,Upland Sandpiper,uplsan,XC549229,Logan McLeod
9.3,#fadca1,Chestnut-collared Longspur,chclon,XC373364,Matt Wistrand
9.4,#f8ce9e,Scissor-tailed Flycatcher,sctfly,XC323788,Terry Davis
9.5,#f3c841,Great-tailed Grackle,grtgra,XC623952,Manuel Grosselet
9.6,#fcb94b,Chihuahuan Raven,chirav,XC610682,Richard E. Webster
10.1,#ebed90,Canyon Wren,canwre,XC638840,Pritam Baruah
10.2,#fadd69,Pyrrhuloxia,pyrrhu,XC610507,Richard E. Webster
11.1,#d3e6b8,Wrentit,wrenti,XC634664,Paul Marvin
12.1,#ddd595,Sulphur-bellied Flycatcher,subfly,XC636091,Mauricio Cuéllar Ramírez
12.2,#e6c07e,,,,
13.1,#b9d87e,Red-faced Warbler,refwar,XC616634,Richard E. Webster
13.2,#a8ca60,Aztec Thrush,aztthr,XC344524,Manuel Grosselet
13.3,#bedb8c,Maroon-fronted Parrot,mafpar1,XC330224,Andrew Spencer
13.4,#6da662,,,,
13.5,#95c28b,,,,
13.6,#72c2bb,Pink-headed Warbler,pihwar1,XC265590,Andrew Spencer
14.1,#e98d94,,,,
14.2,#eda7b7,,,,
14.3,#f08365,,,,
14.4,#f6a1a7,,,,
14.5,#d96576,,,,
14.6,#eca68e,,,,
15.1,#a96fae,,,,
15.2,#d8a7cb,,,,
15.3,#9784ba,,,,
15.4,#c774af,American White Ibis,whiibi,XC571048,Manuel Grosselet
15.5,#c656a0,,,,
15.6,#cbbbda,,,,
